region,year,age_group,gender,ethnic_group,population,literacy_rate,employed,employment_rate
West,2023,15-24,Male,Group A,23291,57.13,5684,24.4
Central,2016,45-64,Male,Group A,10522,92.91,776,7.38
East,2023,15-24,Male,Group C,10850,69.76,33021,304.34
Central,2019,25-44,Female,Group B,12318,91.82,33196,269.49
Central,2016,15-24,Male,Group B,34117,85.17,25554,74.9
South,2022,15-24,Male,Group B,4462,87.95,30429,681.96
East,2013,65+,Female,Group B,5354,68.53,12222,228.28
East,2021,25-44,Female,Group C,34807,64.79,1184,3.4
East,2022,0-14,Female,Group B,3444,72.49,12860,373.4
Central,2014,15-24,Male,Group B,22827,56.04,25244,110.59
West,2022,0-14,Female,Group D,3744,94.51,19051,508.84
East,2012,25-44,Female,Group B,23220,71.64,33499,144.27
Central,2024,15-24,Female,Group D,25590,97.51,13911,54.36
South,2013,65+,Male,Group C,46523,87.74,11427,24.56
West,2024,45-64,Female,Group D,34859,58.46,8228,23.6
South,2023,65+,Female,Group A,49036,83.39,17145,34.96
West,2013,65+,Female,Group D,8355,66.65,33057,395.66
Central,2012,45-64,Female,Group B,2101,65.48,38703,1842.12
North,2022,45-64,Female,Group D,32452,66.03,26182,80.68
West,2019,45-64,Male,Group D,46077,94.39,36113,78.38
South,2014,15-24,Male,Group C,6190,76.5,1492,24.1
Central,2014,0-14,Female,Group C,13021,83.79,24080,184.93
West,2020,0-14,Female,Group B,35110,67.08,32738,93.24
North,2016,45-64,Female,Group A,10983,77.49,7759,70.65
North,2013,65+,Male,Group A,8558,70.05,36749,429.41
East,2022,25-44,Male,Group D,14204,68.81,35359,248.94
East,2013,45-64,Male,Group A,6065,65.62,21739,358.43
South,2018,65+,Male,Group C,44356,72.59,13404,30.22
West,2015,65+,Female,Group B,37756,83.38,2452,6.49
West,2024,15-24,Female,Group B,31115,64.55,36859,118.46
East,2013,15-24,Female,Group C,42174,96.51,10066,23.87
West,2011,0-14,Female,Group B,2427,60.36,38197,1573.84
West,2015,0-14,Male,Group D,16012,75.65,25000,156.13
North,2011,25-44,Female,Group B,8801,58.66,7753,88.09
East,2014,25-44,Male,Group A,21813,55.97,33031,151.43
Central,2015,25-44,Male,Group B,8957,94.68,1987,22.18
East,2013,25-44,Female,Group B,5992,89.85,11926,199.03
Central,2023,65+,Male,Group C,3723,84.85,4115,110.53
North,2022,65+,Male,Group C,23011,92.2,292,1.27
South,2012,0-14,Female,Group A,21955,89.52,11134,50.71
West,2016,15-24,Male,Group C,34222,82.83,30195,88.23
North,2011,15-24,Male,Group A,23934,91.44,32669,136.5
West,2022,45-64,Female,Group D,30841,71.8,1877,6.09
South,2020,65+,Male,Group A,42809,78.77,28442,66.44
South,2023,25-44,Male,Group B,15507,88.38,22092,142.46
North,2015,25-44,Female,Group A,34842,58.65,22314,64.04
South,2022,45-64,Male,Group D,27299,91.92,36832,134.92
Central,2013,15-24,Female,Group B,16174,61.74,27257,168.52
South,2015,25-44,Male,Group A,15926,92.18,37555,235.81
West,2013,15-24,Male,Group C,7595,68.39,31732,417.8
West,2013,45-64,Female,Group C,45291,69.05,10369,22.89
West,2024,15-24,Female,Group C,24604,58.18,34766,141.3
West,2013,15-24,Male,Group A,3755,93.09,30940,823.97
Central,2018,15-24,Female,Group A,34326,62.5,10230,29.8
East,2016,25-44,Male,Group D,35225,82.09,10952,31.09
North,2012,0-14,Female,Group B,23532,82.69,7251,30.81
West,2012,65+,Male,Group B,5444,67.09,10789,198.18
South,2015,15-24,Male,Group B,38326,97.38,11595,30.25
West,2015,15-24,Male,Group B,30997,57.76,13033,42.05
South,2013,15-24,Male,Group A,28223,81.14,798,2.83
South,2024,0-14,Male,Group A,35787,75.62,14567,40.7
West,2024,45-64,Female,Group D,12345,65.56,18628,150.9
Central,2018,25-44,Female,Group B,24797,62.03,16842,67.92
South,2013,0-14,Male,Group A,3070,86.69,21155,689.09
South,2018,15-24,Male,Group A,28003,94.4,10297,36.77
West,2013,0-14,Female,Group A,7950,59.62,13407,168.64
South,2011,0-14,Female,Group A,20771,63.34,22760,109.58
South,2011,0-14,Female,Group B,40971,97.41,23626,57.67
West,2014,45-64,Female,Group B,16398,55.65,997,6.08
West,2013,65+,Female,Group A,14889,76.85,5913,39.71
North,2016,25-44,Male,Group C,48682,77.19,20604,42.32
Central,2023,45-64,Male,Group D,25963,66.32,6111,23.54
Central,2020,45-64,Female,Group B,1244,83.51,4154,333.92
South,2014,65+,Female,Group B,23304,95.63,4512,19.36
